Evan,Zigomalas,evan.zigomalas@gmail.com,male,satisfied,not_sure,probably,1_6_months,once_a_month
Eric,Richan,erampy@rampy.co.uk,male,very_unsatisfied,definitely_not,probably_not,over_three_years,once_a_month
Corrinne,Jaret,corrinne_jaret@gmail.com,female,satisfied,definitely,probably,less_than_a_month,2_to_3_times_a_month
Michell,Throssell,mthrossell@throssell.co.uk,male,unsatisfied,not_sure,not_sure,less_than_a_month,once_a_week
Charisse,Spinello,charisse_spinello@spinello.co.uk,female,satisfied,probably,probably_not,never_used,once_a_month
Leonard,Kufner,lkufner@kufner.co.uk,male,very_satisfied,probably,definitely,less_than_a_month,2_to_3_times_a_month
Milly,Savidge,milly@gmail.com,female,neutral,probably,not_sure,over_three_years,once_a_month
Alethea,Mould,alethea@hotmail.com,female,very_unsatisfied,probably_not,probably_not,over_three_years,once_a_month
Tina,Clapham,tclapham@gmail.com,female,satisfied,not_sure,definitely,over_three_years,2_to_3_times_a_month
Justine,Salta,justine_salta@yahoo.com,female,unsatisfied,not_sure,not_sure,less_than_a_month,2_to_3_times_a_month
